date,produit,categorie,prix_unitaire,quantite,ca
2024-01-04,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-04,Dentifrice Sensigel,Hygiène,22.0,1,22.0
2024-01-04,litiere naturel,litiere,10.0,1,10.0
2024-01-04,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-04,Crème mains nourrissante,Soin corps,28.5,1,28.5
2024-01-04,Déodorant sans alcool,Hygiène,35.0,2,70.0
2024-01-04,Gel anti-douleur musculaire,Santé,40.0,2,80.0
2024-01-04,Crème mains nourrissante,Soin corps,28.5,1,28.5
2024-01-04,croquette ships chat,croquette,6.0,1,6.0
2024-01-04,croquette chien,croquette,6.0,1,6.0
2024-01-04,litiere naturel,litiere,10.0,1,10.0
2024-01-04,Dentifrice Sensigel,Hygiène,22.0,1,22.0
2024-01-04,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-04,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-04,Masque capillaire nourrissant,Cheveux,52.0,1,52.0
2024-01-04,litiere naturel,litiere,10.0,1,10.0
2024-01-04,croquette chien,croquette,6.0,1,6.0
2024-01-04,Dentifrice Sensigel,Hygiène,22.0,2,44.0
2024-01-04,Gel douche doux Uriage,Hygiène,32.0,1,32.0
2024-01-04,Gel anti-douleur musculaire,Santé,40.0,1,40.0
2024-01-04,litiere naturel,litiere,10.0,1,10.0
2024-01-04,croquette ships chat,croquette,6.0,1,6.0
2024-01-04,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-05,Crème hydratante NUXE,Soin du visage,80.0,1,80.0
2024-01-05,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-05,Huile d'argan marocaine,Cheveux,95.0,2,190.0
2024-01-05,Shampoing sec Klorane,Cheveux,45.5,1,45.5
2024-01-05,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-05,Dentifrice Sensigel,Hygiène,22.0,1,22.0
2024-01-05,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-05,Sérum anti-âge La Roche-Posay,Soin du visage,130.0,1,130.0
2024-01-05,Sérum anti-âge La Roche-Posay,Soin du visage,130.0,2,260.0
2024-01-05,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-05,litiere naturel,litiere,10.0,1,10.0
2024-01-05,Savon d'Alep bio,Hygiène,18.0,2,36.0
2024-01-05,croquette chien,croquette,6.0,1,6.0
2024-01-05,Crème hydratante NUXE,Soin du visage,80.0,1,80.0
2024-01-05,Gel douche doux Uriage,Hygiène,32.0,1,32.0
2024-01-05,Shampoing sec Klorane,Cheveux,45.5,1,45.5
2024-01-05,Crème hydratante NUXE,Soin du visage,80.0,1,80.0
2024-01-05,Shampoing sec Klorane,Cheveux,45.5,1,45.5
2024-01-05,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-05,Brumisateur d'eau thermale,Soin du visage,48.0,1,48.0
2024-01-05,Masque capillaire nourrissant,Cheveux,52.0,1,52.0
2024-01-05,Gel douche doux Uriage,Hygiène,32.0,1,32.0
2024-01-05,litiere chat cats ways,litiere,12.0,2,24.0
2024-01-05,litiere chat cats ways,litiere,12.0,1,12.0
2024-01-05,Brumisateur d'eau thermale,Soin du visage,48.0,1,48.0
2024-01-05,Brumisateur d'eau thermale,Soin du visage,48.0,1,48.0
2024-01-05,Brumisateur d'eau thermale,Soin du visage,48.0,1,48.0
2024-01-05,litiere chat cats ways,litiere,12.0,1,12.0
2024-01-05,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-05,Crème mains nourrissante,Soin corps,28.5,1,28.5
2024-01-05,croquette ships chat,croquette,6.0,1,6.0
2024-01-05,Masque capillaire nourrissant,Cheveux,52.0,1,52.0
2024-01-05,Dentifrice Sensigel,Hygiène,22.0,1,22.0
2024-01-05,Shampoing sec Klorane,Cheveux,45.5,1,45.5
2024-01-05,litiere chat cats ways,litiere,12.0,2,24.0
2024-01-05,croquette chien,croquette,6.0,1,6.0
2024-01-05,Shampoing sec Klorane,Cheveux,45.5,2,91.0
2024-01-05,croquette ships chat,croquette,6.0,1,6.0
2024-01-05,croquette ships chat,croquette,6.0,1,6.0
2024-01-05,croquette ships chat,croquette,6.0,1,6.0
2024-01-05,Crème hydratante NUXE,Soin du visage,80.0,1,80.0
2024-01-05,Lotion nettoyante Bioderma,Soin du visage,78.0,2,156.0
2024-01-05,croquette chien,croquette,6.0,1,6.0
2024-01-06,Brumisateur d'eau thermale,Soin du visage,48.0,2,96.0
2024-01-06,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-06,croquette ships chat,croquette,6.0,1,6.0
2024-01-06,croquette chien,croquette,6.0,2,12.0
2024-01-06,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-06,Brumisateur d'eau thermale,Soin du visage,48.0,1,48.0
2024-01-06,Crème hydratante NUXE,Soin du visage,80.0,2,160.0
2024-01-06,Huile d'argan marocaine,Cheveux,95.0,2,190.0
2024-01-06,croquette chien,croquette,6.0,1,6.0
2024-01-06,Shampoing sec Klorane,Cheveux,45.5,1,45.5
2024-01-06,Crème mains nourrissante,Soin corps,28.5,2,57.0
2024-01-06,croquette chien,croquette,6.0,2,12.0
2024-01-06,Masque capillaire nourrissant,Cheveux,52.0,2,104.0
2024-01-06,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-06,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-06,Masque capillaire nourrissant,Cheveux,52.0,2,104.0
2024-01-06,croquette ships chat,croquette,6.0,1,6.0
2024-01-06,Crème hydratante NUXE,Soin du visage,80.0,2,160.0
2024-01-06,Huile d'argan marocaine,Cheveux,95.0,2,190.0
2024-01-06,litiere naturel,litiere,10.0,2,20.0
2024-01-06,litiere chat cats ways,litiere,12.0,1,12.0
2024-01-06,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-06,Crème mains nourrissante,Soin corps,28.5,1,28.5
2024-01-06,Sérum anti-âge La Roche-Posay,Soin du visage,130.0,1,130.0
2024-01-06,Gel douche doux Uriage,Hygiène,32.0,2,64.0
2024-01-06,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-06,Gel anti-douleur musculaire,Santé,40.0,1,40.0
2024-01-06,Dentifrice Sensigel,Hygiène,22.0,1,22.0
2024-01-06,Huile d'argan marocaine,Cheveux,95.0,2,190.0
2024-01-06,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-06,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-06,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-06,Dentifrice Sensigel,Hygiène,22.0,1,22.0
2024-01-06,Crème hydratante NUXE,Soin du visage,80.0,1,80.0
2024-01-07,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-07,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-07,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-07,Gel douche doux Uriage,Hygiène,32.0,1,32.0
2024-01-07,Sérum anti-âge La Roche-Posay,Soin du visage,130.0,1,130.0
2024-01-07,Gel douche doux Uriage,Hygiène,32.0,1,32.0
2024-01-07,Complément alimentaire sommeil,Bien-être,75.0,2,150.0
2024-01-07,Dentifrice Sensigel,Hygiène,22.0,2,44.0
2024-01-07,litiere chat cats ways,litiere,12.0,1,12.0
2024-01-07,croquette chien,croquette,6.0,2,12.0
2024-01-07,Gel douche doux Uriage,Hygiène,32.0,1,32.0
2024-01-07,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-07,croquette ships chat,croquette,6.0,1,6.0
2024-01-07,litiere chat cats ways,litiere,12.0,1,12.0
2024-01-07,Crème mains nourrissante,Soin corps,28.5,1,28.5
2024-01-07,Dentifrice Sensigel,Hygiène,22.0,2,44.0
2024-01-07,croquette chien,croquette,6.0,1,6.0
2024-01-07,Sérum anti-âge La Roche-Posay,Soin du visage,130.0,2,260.0
2024-01-07,Brumisateur d'eau thermale,Soin du visage,48.0,1,48.0
2024-01-07,Savon d'Alep bio,Hygiène,18.0,2,36.0
2024-01-07,Crème hydratante NUXE,Soin du visage,80.0,2,160.0
2024-01-07,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-07,Déodorant sans alcool,Hygiène,35.0,1,35.0
2024-01-07,litiere chat cats ways,litiere,12.0,1,12.0
2024-01-07,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-07,Huile d'argan marocaine,Cheveux,95.0,2,190.0
2024-01-08,Crème mains nourrissante,Soin corps,28.5,1,28.5
2024-01-08,Brumisateur d'eau thermale,Soin du visage,48.0,2,96.0
2024-01-08,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-08,croquette chien,croquette,6.0,2,12.0
2024-01-08,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-08,Shampoing sec Klorane,Cheveux,45.5,1,45.5
2024-01-08,Complément alimentaire sommeil,Bien-être,75.0,2,150.0
2024-01-08,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-08,Crème hydratante NUXE,Soin du visage,80.0,1,80.0
2024-01-08,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-08,litiere naturel,litiere,10.0,2,20.0
2024-01-08,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-08,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-08,Crème mains nourrissante,Soin corps,28.5,1,28.5
2024-01-08,Gel anti-douleur musculaire,Santé,40.0,2,80.0
2024-01-08,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-08,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-08,Déodorant sans alcool,Hygiène,35.0,2,70.0
2024-01-08,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-08,Déodorant sans alcool,Hygiène,35.0,2,70.0
2024-01-08,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-09,Déodorant sans alcool,Hygiène,35.0,1,35.0
2024-01-09,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-09,croquette ships chat,croquette,6.0,2,12.0
2024-01-09,Brumisateur d'eau thermale,Soin du visage,48.0,1,48.0
2024-01-09,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-09,litiere chat cats ways,litiere,12.0,2,24.0
2024-01-09,litiere naturel,litiere,10.0,2,20.0
2024-01-09,Déodorant sans alcool,Hygiène,35.0,2,70.0
2024-01-09,croquette chien,croquette,6.0,1,6.0
2024-01-09,Crème mains nourrissante,Soin corps,28.5,1,28.5
2024-01-09,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-09,Brumisateur d'eau thermale,Soin du visage,48.0,1,48.0
2024-01-09,croquette chien,croquette,6.0,1,6.0
2024-01-09,Crème hydratante NUXE,Soin du visage,80.0,2,160.0
2024-01-09,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-09,Crème mains nourrissante,Soin corps,28.5,1,28.5
2024-01-09,litiere chat cats ways,litiere,12.0,2,24.0
2024-01-09,Sérum anti-âge La Roche-Posay,Soin du visage,130.0,2,260.0
2024-01-09,croquette chien,croquette,6.0,1,6.0
2024-01-09,Crème hydratante NUXE,Soin du visage,80.0,2,160.0
2024-01-09,Gel anti-douleur musculaire,Santé,40.0,1,40.0
2024-01-09,Masque capillaire nourrissant,Cheveux,52.0,1,52.0
2024-01-09,litiere chat cats ways,litiere,12.0,1,12.0
2024-01-09,Brumisateur d'eau thermale,Soin du visage,48.0,1,48.0
2024-01-09,Huile d'argan marocaine,Cheveux,95.0,2,190.0
2024-01-09,Crème mains nourrissante,Soin corps,28.5,1,28.5
2024-01-09,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-09,Shampoing sec Klorane,Cheveux,45.5,1,45.5
2024-01-09,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-09,croquette chien,croquette,6.0,1,6.0
2024-01-09,croquette ships chat,croquette,6.0,1,6.0
2024-01-09,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-09,Gel anti-douleur musculaire,Santé,40.0,2,80.0
2024-01-09,Shampoing sec Klorane,Cheveux,45.5,1,45.5
2024-01-09,Masque capillaire nourrissant,Cheveux,52.0,1,52.0
2024-01-09,Déodorant sans alcool,Hygiène,35.0,1,35.0
2024-01-09,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-09,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-09,Crème hydratante NUXE,Soin du visage,80.0,1,80.0
2024-01-09,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-09,Dentifrice Sensigel,Hygiène,22.0,1,22.0
2024-01-10,litiere chat cats ways,litiere,12.0,1,12.0
2024-01-10,Lotion nettoyante Bioderma,Soin du visage,78.0,2,156.0
2024-01-10,Brumisateur d'eau thermale,Soin du visage,48.0,1,48.0
2024-01-10,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-10,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-10,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-10,Crème hydratante NUXE,Soin du visage,80.0,1,80.0
2024-01-10,Déodorant sans alcool,Hygiène,35.0,1,35.0
2024-01-10,Savon d'Alep bio,Hygiène,18.0,2,36.0
2024-01-10,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-10,Crème hydratante NUXE,Soin du visage,80.0,1,80.0
2024-01-10,Dentifrice Sensigel,Hygiène,22.0,1,22.0
2024-01-10,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-10,Gel douche doux Uriage,Hygiène,32.0,2,64.0
2024-01-10,croquette ships chat,croquette,6.0,1,6.0
2024-01-10,Crème hydratante NUXE,Soin du visage,80.0,1,80.0
2024-01-10,litiere naturel,litiere,10.0,1,10.0
2024-01-10,croquette ships chat,croquette,6.0,1,6.0
2024-01-10,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-10,Crème mains nourrissante,Soin corps,28.5,1,28.5
2024-01-10,litiere chat cats ways,litiere,12.0,1,12.0
2024-01-10,Huile d'argan marocaine,Cheveux,95.0,2,190.0
2024-01-10,Crème mains nourrissante,Soin corps,28.5,2,57.0
2024-01-10,Brumisateur d'eau thermale,Soin du visage,48.0,1,48.0
2024-01-10,litiere naturel,litiere,10.0,1,10.0
2024-01-10,Gel anti-douleur musculaire,Santé,40.0,2,80.0
2024-01-11,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-11,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-11,litiere chat cats ways,litiere,12.0,1,12.0
2024-01-11,Gel douche doux Uriage,Hygiène,32.0,1,32.0
2024-01-11,Brumisateur d'eau thermale,Soin du visage,48.0,2,96.0
2024-01-11,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-11,Brumisateur d'eau thermale,Soin du visage,48.0,1,48.0
2024-01-11,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-11,croquette ships chat,croquette,6.0,1,6.0
2024-01-11,Gel douche doux Uriage,Hygiène,32.0,1,32.0
2024-01-11,Gel anti-douleur musculaire,Santé,40.0,1,40.0
2024-01-11,litiere chat cats ways,litiere,12.0,1,12.0
2024-01-11,Sérum anti-âge La Roche-Posay,Soin du visage,130.0,1,130.0
2024-01-11,Gel douche doux Uriage,Hygiène,32.0,2,64.0
2024-01-11,Crème hydratante NUXE,Soin du visage,80.0,1,80.0
2024-01-11,Gel douche doux Uriage,Hygiène,32.0,2,64.0
2024-01-11,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-11,croquette ships chat,croquette,6.0,1,6.0
2024-01-11,litiere naturel,litiere,10.0,1,10.0
2024-01-11,Gel douche doux Uriage,Hygiène,32.0,1,32.0
2024-01-11,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-11,Sérum anti-âge La Roche-Posay,Soin du visage,130.0,2,260.0
2024-01-11,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-11,Shampoing sec Klorane,Cheveux,45.5,1,45.5
2024-01-11,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-11,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-11,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-11,croquette ships chat,croquette,6.0,1,6.0
2024-01-11,Brumisateur d'eau thermale,Soin du visage,48.0,1,48.0
2024-01-11,litiere naturel,litiere,10.0,1,10.0
2024-01-11,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-11,Gel anti-douleur musculaire,Santé,40.0,1,40.0
2024-01-11,Brumisateur d'eau thermale,Soin du visage,48.0,1,48.0
2024-01-11,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-11,litiere naturel,litiere,10.0,1,10.0
2024-01-11,Sérum anti-âge La Roche-Posay,Soin du visage,130.0,2,260.0
2024-01-11,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-11,litiere naturel,litiere,10.0,1,10.0
2024-01-11,Sérum anti-âge La Roche-Posay,Soin du visage,130.0,2,260.0
2024-01-11,litiere chat cats ways,litiere,12.0,2,24.0
2024-01-11,Déodorant sans alcool,Hygiène,35.0,1,35.0
2024-01-11,Dentifrice Sensigel,Hygiène,22.0,1,22.0
2024-01-11,croquette ships chat,croquette,6.0,2,12.0
2024-01-11,Huile d'argan marocaine,Cheveux,95.0,2,190.0
2024-01-11,Crème hydratante NUXE,Soin du visage,80.0,1,80.0
2024-01-11,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-11,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-11,Gel anti-douleur musculaire,Santé,40.0,1,40.0
2024-01-12,Dentifrice Sensigel,Hygiène,22.0,2,44.0
2024-01-12,Gel douche doux Uriage,Hygiène,32.0,1,32.0
2024-01-12,croquette chien,croquette,6.0,2,12.0
2024-01-12,Sérum anti-âge La Roche-Posay,Soin du visage,130.0,1,130.0
2024-01-12,Savon d'Alep bio,Hygiène,18.0,2,36.0
2024-01-12,Shampoing sec Klorane,Cheveux,45.5,1,45.5
2024-01-12,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-12,litiere naturel,litiere,10.0,2,20.0
2024-01-12,Shampoing sec Klorane,Cheveux,45.5,1,45.5
2024-01-12,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-12,Déodorant sans alcool,Hygiène,35.0,1,35.0
2024-01-12,Crème mains nourrissante,Soin corps,28.5,2,57.0
2024-01-12,Gel douche doux Uriage,Hygiène,32.0,1,32.0
2024-01-12,Déodorant sans alcool,Hygiène,35.0,1,35.0
2024-01-12,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-12,Sérum anti-âge La Roche-Posay,Soin du visage,130.0,1,130.0
2024-01-12,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-12,Dentifrice Sensigel,Hygiène,22.0,1,22.0
2024-01-12,Lotion nettoyante Bioderma,Soin du visage,78.0,2,156.0
2024-01-12,litiere naturel,litiere,10.0,2,20.0
2024-01-12,litiere chat cats ways,litiere,12.0,1,12.0
2024-01-12,Shampoing sec Klorane,Cheveux,45.5,2,91.0
2024-01-12,Déodorant sans alcool,Hygiène,35.0,1,35.0
2024-01-12,litiere naturel,litiere,10.0,1,10.0
2024-01-13,Brumisateur d'eau thermale,Soin du visage,48.0,1,48.0
2024-01-13,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-13,litiere naturel,litiere,10.0,1,10.0
2024-01-13,Patchs yeux Bio,Soin du visage,60.0,2,120.0
2024-01-13,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-13,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-13,Masque capillaire nourrissant,Cheveux,52.0,1,52.0
2024-01-13,Gel anti-douleur musculaire,Santé,40.0,1,40.0
2024-01-13,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-13,Crème mains nourrissante,Soin corps,28.5,1,28.5
2024-01-13,litiere chat cats ways,litiere,12.0,1,12.0
2024-01-13,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-13,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-13,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-13,Dentifrice Sensigel,Hygiène,22.0,1,22.0
2024-01-13,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-13,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-13,litiere naturel,litiere,10.0,1,10.0
2024-01-13,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-13,Gel douche doux Uriage,Hygiène,32.0,1,32.0
2024-01-13,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-13,croquette chien,croquette,6.0,1,6.0
2024-01-13,Sérum anti-âge La Roche-Posay,Soin du visage,130.0,1,130.0
2024-01-13,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-13,Sérum anti-âge La Roche-Posay,Soin du visage,130.0,2,260.0
2024-01-13,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-13,Shampoing sec Klorane,Cheveux,45.5,2,91.0
2024-01-13,Crème hydratante NUXE,Soin du visage,80.0,1,80.0
2024-01-13,Crème hydratante NUXE,Soin du visage,80.0,2,160.0
2024-01-13,Crème hydratante NUXE,Soin du visage,80.0,1,80.0
2024-01-13,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-13,litiere naturel,litiere,10.0,1,10.0
2024-01-13,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-13,croquette ships chat,croquette,6.0,1,6.0
2024-01-13,Sérum anti-âge La Roche-Posay,Soin du visage,130.0,1,130.0
2024-01-14,Gel douche doux Uriage,Hygiène,32.0,1,32.0
2024-01-14,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-14,Déodorant sans alcool,Hygiène,35.0,1,35.0
2024-01-14,Savon d'Alep bio,Hygiène,18.0,2,36.0
2024-01-14,Shampoing sec Klorane,Cheveux,45.5,1,45.5
2024-01-14,Crème hydratante NUXE,Soin du visage,80.0,1,80.0
2024-01-14,Masque capillaire nourrissant,Cheveux,52.0,1,52.0
2024-01-14,Complément alimentaire sommeil,Bien-être,75.0,2,150.0
2024-01-14,litiere chat cats ways,litiere,12.0,1,12.0
2024-01-14,croquette ships chat,croquette,6.0,1,6.0
2024-01-14,Crème mains nourrissante,Soin corps,28.5,1,28.5
2024-01-14,Crème mains nourrissante,Soin corps,28.5,1,28.5
2024-01-14,Masque capillaire nourrissant,Cheveux,52.0,2,104.0
2024-01-14,croquette chien,croquette,6.0,1,6.0
2024-01-14,litiere chat cats ways,litiere,12.0,1,12.0
